Round,PoolCup,WinLoss,PtsDiff,OppID,Game,Athlete,Player_Pos,DTO_Attempt,DTO_Complete,TO_Error,BC_Carry,BC_Linebreak,BC_Linebreak_Assist,BC_Tackles_Broken,Pass_Good,Pass_Bad,Offloads_Good,Offloads_Bad,Tackles_Total,Tackles_Assist,Tackles_DefensiveError,Tackles_ShoulderMiss,Tackles_Offload_Effective,Tackles_Offload_Ineffective,Tackles_Contest,Ball_In_Hand,Coversion,Conversion_Attempt,Try_Score,Player_Line
2,2,2,-5,10,5,16,0,0,0,0,2,0,0,0,9,1,0,0,2,0,0,0,0,0,0,12,1,1,0,Back
2,2,1,19,5,6,16,0,3,3,1,0,0,0,0,6,5,0,0,2,0,0,0,0,1,0,13,1,2,0,Back
2,1,1,21,2,2,16,0,0,0,0,1,0,0,0,4,0,0,0,2,0,1,0,1,0,0,5,0,0,0,Back
2,2,1,12,3,4,16,0,3,1,0,0,0,0,0,3,2,0,0,4,0,0,0,0,0,1,6,1,2,0,Back
2,1,1,13,3,1,16,0,0,0,1,1,0,1,0,5,3,0,0,3,0,0,0,1,0,0,9,0,2,0,Back
2,1,1,7,7,3,16,0,3,1,2,1,0,0,0,9,0,0,0,2,0,0,0,1,0,0,11,1,3,0,Back
3,2,2,-2,4,5,16,0,0,0,1,3,1,1,0,4,3,0,0,1,0,0,0,1,0,0,11,0,0,2,Back
3,1,2,-16,7,3,16,0,2,1,1,0,0,0,0,2,2,0,0,4,1,0,2,0,0,2,5,0,0,0,Back
3,2,1,11,3,6,16,0,1,0,0,2,0,0,1,4,5,0,0,0,1,0,0,0,0,0,10,0,0,0,Back
3,2,1,12,5,4,16,0,1,1,1,2,0,1,0,4,2,0,0,3,0,0,0,0,0,1,9,0,0,0,Back
3,1,1,17,8,2,16,0,3,2,2,7,0,0,2,1,2,0,0,2,0,1,0,0,0,1,7,0,0,0,Back
3,1,1,28,9,1,16,0,0,0,0,0,0,0,0,3,1,0,0,2,1,0,0,0,0,0,4,2,2,0,Back
